user,sku,category,query,click_time,query_time
000000df17cd56a5df4a94074e133c9d4739fae3,2125233,abcat0101001,"Televisiones Panasonic  50 pulgadas","2011-09-01 23:44:52.533","2011-09-01 23:43:59.752"
000001928162247ffaf63185cd8b2a244c78e7c6,2009324,abcat0101001,Sharp,"2011-09-05 12:25:37.42","2011-09-05 12:25:01.187"
000017f79c2b5da56721f22f9fdd726b13daf8e8,1517163,pcmcat193100050014,nook,"2011-08-24 12:56:58.91","2011-08-24 12:55:13.012"
000017f79c2b5da56721f22f9fdd726b13daf8e8,2877125,abcat0101001,rca,"2011-10-25 07:18:14.722","2011-10-25 07:16:51.759"
006af5aef3fcafe6ea7883df1eaf3573c8562a68,7342663,cat09000,"lil wayne","2011-09-01 23:31:27.19","2011-09-01 23:30:49.282"
006af5aef3fcafe6ea7883df1eaf3573c8562a68,3088732,abcat0504010,"external harddrive","2011-10-06 23:15:11.246","2011-10-06 23:14:51.564"
006af5aef3fcafe6ea7883df1eaf3573c8562a68,2550437,abcat0907007,"portable air conditioner","2011-10-19 23:11:02.285","2011-10-19 23:10:49.531"
006af5aef3fcafe6ea7883df1eaf3573c8562a68,9773712,abcat0410001,cases,"2011-10-19 23:11:50.687","2011-10-19 23:11:15.154"
006af5aef3fcafe6ea7883df1eaf3573c8562a68,9010474,abcat0801003,metallica,"2011-10-25 22:47:35.216","2011-10-25 22:45:41.339"
006af5aef3fcafe6ea7883df1eaf3573c8562a68,3487232,pcmcat211000050002,metallica,"2011-10-25 22:48:36.305","2011-10-25 22:45:41.339"
006af5aef3fcafe6ea7883df1eaf3573c8562a68,6681708,abcat0916001,dishwasher,"2011-10-25 23:49:20.536","2011-10-25 23:48:52.169"
006af5aef3fcafe6ea7883df1eaf3573c8562a68,2340071,pcmcat209000050007,dishwasher,"2011-10-25 23:50:39.485","2011-10-25 23:48:52.169"
006af5aef3fcafe6ea7883df1eaf3573c8562a68,9660537,pcmcat138100050035,dvi-d,"2011-10-25 23:51:50.801","2011-10-25 23:51:42.232"
006af5aef3fcafe6ea7883df1eaf3573c8562a68,2300417,pcmcat209400050001,"laptop hard drive","2011-10-26 00:44:27.175","2011-10-26 00:40:05.523"
006af5be80f7a455aeac6d362094f92185c6a4bf,2089255,abcat0503002,Router,"2011-10-22 18:03:30.232","2011-10-22 17:59:41.337"
006afbefa234b1b38e885729ba37ff1249cccb54,1303056,abcat0508009,"Microsoft office","2011-10-03 18:22:59.148","2011-10-03 18:22:28.509"
006b14911a22ca90462023d0eef4ab24e665e779,6508558,cat02015,"Curb your enthusiasm","2011-09-18 21:10:53.691","2011-09-18 21:10:26.789"
006b14911a22ca90462023d0eef4ab24e665e779,8640447,cat02015,"Curb your enthusiasm","2011-09-18 21:11:34.396","2011-09-18 21:10:26.789"
006b15d06af3e657f21cd222ea973927f68ab4a3,3266059,pcmcat171900050029,"Htc freestyle cases","2011-10-21 22:24:36.643","2011-10-21 22:23:45.59"
006b188b3eac4a4b1d252b908639654be28f696b,3266923,pcmcat171900050026,"iPhone cord","2011-09-12 22:54:28.307","2011-09-12 22:52:40.649"
006b23929b493fbbcecceff14d2a8aec4d45c649,9755395,pcmcat247400050001,apple,"2011-10-01 10:31:23.982","2011-10-01 10:29:22.052"
006b54d177d17ca0f65f92aeac14a1b89345150b,1623912,pcmcat247400050000,LaborDay_Computers_20110902,"2011-09-03 11:14:50.145","2011-09-03 11:14:47.236"
006b5e2c7d7be7c4ad5e6882aafad52d2d219636,9971251,abcat0703002,Sony,"2011-09-16 11:14:11.99","2011-09-16 11:13:47.012"
006b5e2c7d7be7c4ad5e6882aafad52d2d219636,2355847,abcat0101001,"Sony 60","2011-09-26 14:22:32.286","2011-09-26 14:22:08.69"
006b6e408f39801b83a348dbc35f6a0fcb60248f,3639159,pcmcat209000050008,"motorola xoom","2011-10-16 10:55:26.44","2011-10-16 10:51:50.097"
006b74f3fcd5b9cffdc4b2756f858a5811428609,2762573,pcmcat242000050002,"samsung galaxy 10.1","2011-08-22 00:48:17.206","2011-08-22 00:47:52.236"
006b74f3fcd5b9cffdc4b2756f858a5811428609,2842092,pcmcat209000050008,"hp touch pad","2011-08-22 01:37:30.279","2011-08-22 01:36:43.048"
006b75aa726a751153d74db5a59eb67eed04dc7c,2863978,cat02015,"Lion king","2011-09-22 06:06:16.787","2011-09-22 06:04:39.314"
006b76f81aa211b4eb72a6b0120d90fe301e98e5,9175082,abcat0705001,"Memory Stick PRO Duo","2011-09-22 17:08:48.492","2011-09-22 17:07:35.185"
006b7eb3ccd8c5bcf492c1f7ece6e1ca745b9293,3409672,abcat0503013,Modems,"2011-10-28 20:33:31.12","2011-10-28 20:31:42.051"
006b7eb3ccd8c5bcf492c1f7ece6e1ca745b9293,2088422,abcat0503002,Modems,"2011-10-28 20:33:54.435","2011-10-28 20:31:42.051"
006b7eb3ccd8c5bcf492c1f7ece6e1ca745b9293,9962417,abcat0503013,Modems,"2011-10-28 20:34:39.755","2011-10-28 20:31:42.051"
006b7eb3ccd8c5bcf492c1f7ece6e1ca745b9293,2836657,abcat0503013,Modems,"2011-10-28 20:34:57.434","2011-10-28 20:31:42.051"
006b7eb3ccd8c5bcf492c1f7ece6e1c4e45dd77653619d432482da5673368a313d4a604,2960361,cat02015,t.i.,"2011-10-26 00:15:35.122","2011-10-26 00:14:41.912"
4e45e0282cee0d1d1e2ccde0da64b5620c370f11,9744971,pcmcat166000050027,dvr,"2011-10-15 17:27:29.827","2011-10-15 17:22:34.333"
4e45f4a0b42a2dded9dcc278224161c7051e56a5,9652556,abcat0707002,"nintendo ds games","2011-10-19 22:59:27.72","2011-10-19 22:59:08.129"
4e4607da8d0c32122b7d89a84ca05ef332cb66b5,1145414,abcat0715001,"Xbox360 cable","2011-09-02 14:37:32.014","2011-09-02 14:36:42.528"
4e462b2a0696b7bc5c0208a53bc213ad6d6bd9b6,2127443,abcat0101001,"lcd tv","2011-10-03 18:33:57.236","2011-10-03 18:33:44.853"
4e46361eac8317c91c26aa8de769250e7b06e656,2424392,abcat0401004,Tx10,"2011-09-07 14:39:10.414","2011-09-07 14:37:55.515"
4e464d5fc719fed33b3856dca53b4dc2bdcc1646,9845563,abcat0201011,shuffle,"2011-10-19 23:25:35.694","2011-10-19 23:24:56.514"
4e464e43138ebfdfe2f63b1687da3ae92df6ba51,1946197,pcmcat209000050008,xoom,"2011-10-30 14:56:08.062","2011-10-30 14:55:09.464"
4e464f9d94e48d8984fbfa3dc717a98c5ffb6d55,2339322,pcmcat209000050007,iPad,"2011-09-17 13:12:53.121","2011-09-17 13:12:01.875"
4e4655e1c1a2106b6ea48e69030edf144b39dafd,2636986,abcat0307022,"usb gps antenna","2011-10-02 12:48:13.181","2011-10-02 12:47:47.175"
4e467e5deb24de14358e690d773c31515d0688cc,2343806,pcmcat138100050035,vga,"2011-10-19 21:46:24.616","2011-10-19 21:46:03.405"
4e467fb9a930e40141bf89935168410123bfc830,1257136,pcmcat231700050017,Email,"2011-08-13 15:26:02.895","2011-08-13 15:25:10.061"
4e469eafb6d3453b03b84a292c5fb5402d67f58c,9374125,abcat0703002,"Red dead","2011-09-02 12:40:42.308","2011-09-02 12:40:27.401"
4e46a5deb00be8ee30250b466087309491cd6f2d,2343624,abcat0511002,"wireless printers","2011-10-12 16:55:29.986","2011-10-12 16:53:12.488"
4e46a5deb00be8ee30250b466087309491cd6f2d,9931145,abcat0511004,"wireless printers","2011-10-12 16:56:53.125","2011-10-12 16:53:12.488"
4e46af3f84115ab6ed00d890ae05091f1c4014e0,2375265,abcat0305000,Cobera,"2011-09-22 09:48:39.53","2011-09-22 09:46:45.336"
4e46b12fd9f6c3d074df6f3e0aa73a06b1c78879,1048537,abcat0410020,"Canon filters","2011-10-02 15:25:10.107","2011-10-02 15:24:16.618"
4e46b1bf9dedc6ab064527aa14b687142305d158,2842056,pcmcat209000050008,"hp touchpad","2011-09-15 08:52:47.175","2011-09-15 08:52:14.347"
4e46c2c12690082e48fa5c9f989c14a184134ec3,7388971,cat02607,matrix,"2011-10-19 23:13:02.74","2011-10-19 23:11:49.415"
